"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"VQ1VIST0001","01"," 18.3255"," -64.8513","  16.2","ANNA'S RETREAT 2.5 ESE, VI VQ","01","99","99","    2.57"," ","E"," 3"
"VQ1VIST0001","02"," 18.3255"," -64.8513","  16.2","ANNA'S RETREAT 2.5 ESE, VI VQ","02","99","99","    1.35"," ","E"," 3"
"VQ1VIST0001","03"," 18.3255"," -64.8513","  16.2","ANNA'S RETREAT 2.5 ESE, VI VQ","03","99","99","    1.71"," ","E"," 3"
"VQ1VIST0001","04"," 18.3255"," -64.8513","  16.2","ANNA'S RETREAT 2.5 ESE, VI VQ","04","99","99","    1.71"," ","E"," 3"
"VQ1VIST0001","05"," 18.3255"," -64.8513","  16.2","ANNA'S RETREAT 2.5 ESE, VI VQ","05","99","99","    4.60"," ","E"," 4"
"VQ1VIST0001","06"," 18.3255"," -64.8513","  16.2","ANNA'S RETREAT 2.5 ESE, VI VQ","06","99","99","    3.20"," ","E"," 4"
"VQ1VIST0001","07"," 18.3255"," -64.8513","  16.2","ANNA'S RETREAT 2.5 ESE, VI VQ","07","99","99","    3.19"," ","E"," 5"
"VQ1VIST0001","08"," 18.3255"," -64.8513","  16.2","ANNA'S RETREAT 2.5 ESE, VI VQ","08","99","99","    5.95"," ","E"," 5"
"VQ1VIST0001","09"," 18.3255"," -64.8513","  16.2","ANNA'S RETREAT 2.5 ESE, VI VQ","09","99","99","    6.21"," ","E"," 3"
"VQ1VIST0001","10"," 18.3255"," -64.8513","  16.2","ANNA'S RETREAT 2.5 ESE, VI VQ","10","99","99","    6.05"," ","E"," 4"
"VQ1VIST0001","11"," 18.3255"," -64.8513","  16.2","ANNA'S RETREAT 2.5 ESE, VI VQ","11","99","99","    5.77"," ","E"," 4"
"VQ1VIST0001","12"," 18.3255"," -64.8513","  16.2","ANNA'S RETREAT 2.5 ESE, VI VQ","12","99","99","    2.78"," ","E"," 4"
